      Lon      Lat    Year  Fraction
    13.75    55.75    1995      0.00
    13.75    55.75    1996      0.00
    13.75    55.75    1997      0.00
    13.75    55.75    1998      0.00
    13.75    55.75    1999      0.00
    13.75    55.75    2000      0.00
    13.75    55.75    2001      0.00
    13.75    55.75    2002      0.00
    13.75    55.75    2003      0.00
    13.75    55.75    2004      0.00
    13.75    55.75    2005      0.00
    13.75    55.75    2006      0.00
    13.75    55.75    2007      0.00
    13.75    55.75    2008      0.00
    13.75    55.75    2009      0.00
    13.75    55.75    2010      0.00
    13.75    55.75    2011      0.00
    13.75    55.75    2012      0.01
    13.75    55.75    2013      0.02
    13.75    55.75    2014      0.03
    13.75    55.75    2015      0.04
    13.75    55.75    2016      0.05
    13.75    55.75    2017      0.05
    13.75    55.75    2018      0.06
    13.75    55.75    2019      0.07
    13.75    55.75    2020      0.08
    13.75    55.75    2021      0.08
    13.75    55.75    2022      0.09
    13.75    55.75    2023      0.10
    13.75    55.75    2024      0.11
    13.75    55.75    2025      0.12
    13.75    55.75    2026      0.12
    13.75    55.75    2027      0.13
    13.75    55.75    2028      0.14
    13.75    55.75    2029      0.14
    13.75    55.75    2030      0.15
    13.75    55.75    2031      0.16
    13.75    55.75    2032      0.18
    13.75    55.75    2033      0.20
    13.75    55.75    2034      0.21
    13.75    55.75    2035      0.23
    13.75    55.75    2036      0.25
    13.75    55.75    2037      0.27
    13.75    55.75    2038      0.28
    13.75    55.75    2039      0.29
    13.75    55.75    2040      0.31
    13.75    55.75    2041      0.33
    13.75    55.75    2042      0.34
    13.75    55.75    2043      0.34
    13.75    55.75    2044      0.35
    13.75    55.75    2045      0.36
    13.75    55.75    2046      0.37
    13.75    55.75    2047      0.38
    13.75    55.75    2048      0.40
    13.75    55.75    2049      0.40
    13.75    55.75    2050      0.42
    13.75    55.75    2051      0.43
    13.75    55.75    2052      0.45
    13.75    55.75    2053      0.46
    13.75    55.75    2054      0.46
    13.75    55.75    2055      0.47
    13.75    55.75    2056      0.49
    13.75    55.75    2057      0.50
    13.75    55.75    2058      0.51
    13.75    55.75    2059      0.51
    13.75    55.75    2060      0.54
    13.75    55.75    2061      0.56
    13.75    55.75    2062      0.57
    13.75    55.75    2063      0.58
    13.75    55.75    2064      0.59
    13.75    55.75    2065      0.59
    13.75    55.75    2066      0.62
    13.75    55.75    2067      0.62
    13.75    55.75    2068      0.63
    13.75    55.75    2069      0.65
    13.75    55.75    2070      0.65
    13.75    55.75    2071      0.68
    13.75    55.75    2072      0.71
    13.75    55.75    2073      0.73
    13.75    55.75    2074      0.74
    13.75    55.75    2075      0.74
    13.75    55.75    2076      0.74
    13.75    55.75    2077      0.75
    13.75    55.75    2078      0.76
    13.75    55.75    2079      0.77
    13.75    55.75    2080      0.79
    13.75    55.75    2081      0.81
    13.75    55.75    2082      0.81
    13.75    55.75    2083      0.82
    13.75    55.75    2084      0.84
    13.75    55.75    2085      0.85
    13.75    55.75    2086      0.87
    13.75    55.75    2087      0.87
    13.75    55.75    2088      0.90
    13.75    55.75    2089      0.91
    13.75    55.75    2090      0.91
    13.75    55.75    2091      0.91
    13.75    55.75    2092      0.92
    13.75    55.75    2093      0.93
    13.75    55.75    2094      0.94
    13.75    55.75    2095      0.94
    13.75    55.75    2096      0.96
    13.75    55.75    2097      0.96
    13.75    55.75    2098      0.96
    13.75    55.75    2099      0.97
    13.75    55.75    2100      0.97
    13.75    55.75    2101      0.97
    13.75    55.75    2102      0.99
    13.75    55.75    2103      0.99
    13.75    55.75    2104      0.99
    13.75    55.75    2105      0.99
    13.75    55.75    2106      0.99
    13.75    55.75    2107      0.99
    13.75    55.75    2108      0.99
    13.75    55.75    2109      1.00
    13.75    55.75    2110      1.00
    13.75    55.75    2111      1.00
    13.75    55.75    2112      1.00
    13.75    55.75    2113      1.00
    13.75    55.75    2114      1.00
    13.75    55.75    2115      1.00
    13.75    55.75    2116      1.00
    13.75    55.75    2117      1.00
    13.75    55.75    2118      1.00
    13.75    55.75    2119      1.00
    13.75    55.75    2120      1.00
    13.75    55.75    2121      1.00
    13.75    55.75    2122      1.00
    13.75    55.75    2123      1.00
    13.75    55.75    2124      1.00
    13.75    55.75    2125      1.00
